Please ignore. Just helpful for HCMR logistics --> Sequenced,Observatory-ID,ARMS-ID,MaterialSample-ID,Event-ID,Deployment Date,Collection Date,Observatory-ID,ARMS-ID,Country,Fraction_Specific,Fraction,Preservative,Filter (micrometer),Crate cover used during retrieval,OriginalSample-ID,gene_COI,COI_demultiplexed,gene_COI_negative_control,gene_ITS,ITS_demultiplexed,gene_ITS_negative_control,gene_18S,18S_demultiplexed,gene_18S_negative_control,initial number of paired-end reads,initial number of paired-end reads,initial number of paired-end reads,Cleaned sequences,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,FastQC Report,Open access date
April 2021,Getxo,G3,ARMS_Getxo_G3_20200624_20201103_SF40,ARMS_Getxo_G3_20200624_20201103,2020-06-24,2020-11-03,Getxo,G3,Spain,Sessile_40um,Sessile,DMSO,40,,Getxo-G3-SF40-A-B-C-DMSO,ERR7127688,MiSeq (indices) / cutadapt (primers),ERR7125534,ERR7127689,MiSeq (indices) / cutadapt (primers),ERR7125535,ERR7127687,MiSeq (indices) / cutadapt (primers),ERR7125533,,,,,,,,,,,,,,,,,,,,
May 2021,GulfOfPiran,Fornace,ARMS_GulfOfPiran_Fornace_20180815_20181118_MF100_DMSO,ARMS_GulfOfPiran_Fornace_20180815_20181118,2018-08-15,2018-11-18,GulfOfPiran,Fornace,Slovenia,Motile_100um,Motile,DMSO,100,,DESS MOB2,ERR7127578,MiSeq (indices),ERR7125582,discontinued,discontinued,discontinued,ERR7127574,MiSeq (indices),ERR7125581,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
May 2021,GulfOfPiran,Fornace,ARMS_GulfOfPiran_Fornace_20180815_20181118_MF100_ETOH,ARMS_GulfOfPiran_Fornace_20180815_20181118,2018-08-15,2018-11-18,GulfOfPiran,Fornace,Slovenia,Motile_100um,Motile,EtOH,100,,etOH MOB2,ERR7127579,MiSeq (indices),ERR7125582,discontinued,discontinued,discontinued,ERR7127575,MiSeq (indices),ERR7125581,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
July 2019,GulfOfPiran,Fornace,ARMS_GulfOfPiran_Fornace_20180815_20181118_MF500_DMSO,ARMS_GulfOfPiran_Fornace_20180815_20181118,2018-08-15,2018-11-18,GulfOfPiran,Fornace,Slovenia,Motile_500um,Motile,DMSO,500,,DESS MOB4,ERR4018549,MiSeq (indices),ERR3460471,ERR4018547,MiSeq (indices),ERR4018475,ERR4605229,MiSeq (indices) / cutadapt (primers),ERR4605902,120276,119813,1246162,,Pass,Warn,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Warn,Pass,Fail,Fail,2021-05-01
July 2019,GulfOfPiran,Fornace,ARMS_GulfOfPiran_Fornace_20180815_20181118_MF500_ETOH,ARMS_GulfOfPiran_Fornace_20180815_20181118,2018-08-15,2018-11-18,GulfOfPiran,Fornace,Slovenia,Motile_500um,Motile,EtOH,200,,etOH MOB4,N/A (no successful sequencing),N/A (no successful sequencing),N/A (no successful sequencing),ERR4018548,MiSeq (indices),ERR4018475,ERR4605230,MiSeq (indices) / cutadapt (primers),ERR4605902,,49,1330263,,N/A,Pass,Fail,N/A,Warn,Pass,N/A,Pass,Pass,N/A,Pass,Warn,N/A,Fail,Fail,2021-05-01
May 2021,GulfOfPiran,Fornace,ARMS_GulfOfPiran_Fornace_20180815_20181118_SF_DMSO,ARMS_GulfOfPiran_Fornace_20180815_20181118,2018-08-15,2018-11-18,GulfOfPiran,Fornace,Slovenia,Sessile,Sessile,DMSO-EDTA,not provided,,DESS SES,ERR7127580,MiSeq (indices),ERR7125582,discontinued,discontinued,discontinued,ERR7127576,MiSeq (indices),ERR7125581,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
May 2021,GulfOfPiran,Fornace,ARMS_GulfOfPiran_Fornace_20180815_20181118_SF_ETOH,ARMS_GulfOfPiran_Fornace_20180815_20181118,2018-08-15,2018-11-18,GulfOfPiran,Fornace,Slovenia,Sessile,Sessile,EtOH,not provided,,etOH SES,ERR7127581,MiSeq (indices),ERR7125582,discontinued,discontinued,discontinued,ERR7127577,MiSeq (indices),ERR7125581,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
January 2020,Koster,VH1,ARMS_Koster_VH1_20180418_20190527_MF100_DMSO,ARMS_Koster_VH1_20180418_20190527,2018-04-18,2019-05-27,Koster,VH1,Sweden,Motile_100um,Motile,DMSO,100,Yes,2018_Koster_VH1_MF100_DMSO,ERR4018467,MiSeq (indices),ERR4018471,ERR4018462,MiSeq (indices),ERR4018473,ERR4018457,MiSeq (indices),ERR4018472,19028,30271,18688,,Fail,Warn,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,2020-04-14
January 2020,Koster,VH1,ARMS_Koster_VH1_20180418_20190527_MF500_DMSO,ARMS_Koster_VH1_20180418_20190527,2018-04-18,2019-05-27,Koster,VH1,Sweden,Motile_500um,Motile,DMSO,500,Yes,2018_Koster_VH1_MF500_DMSO,ERR4018466,MiSeq (indices),ERR4018471,ERR4018461,MiSeq (indices),ERR4018473,ERR4018456,MiSeq (indices),ERR4018472,17073,26666,29491,,Warn,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,2020-04-14
January 2020,Koster,VH1,ARMS_Koster_VH1_20180418_20190527_SF40_DMSO,ARMS_Koster_VH1_20180418_20190527,2018-04-18,2019-05-27,Koster,VH1,Sweden,Sessile_40um,Sessile,DMSO,40,Yes,2018_Koster_VH1_SF40_DMSO,ERR4018468,MiSeq (indices),ERR4018471,ERR4018463,MiSeq (indices),ERR4018473,ERR4018458,MiSeq (indices),ERR4018472,27417,29038,18463,,Fail,Warn,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Fail,2020-04-14
September 2020,Koster,VH1,ARMS_Koster_VH1_20190527_20200716_MF100,ARMS_Koster_VH1_20190527_20200716,2019-05-27,2020-07-16,Koster,VH1,Sweden,Motile_100um,Motile,DMSO,100,,ARMS_KOSTER_VH1_190527-200716_ MF100,ERR4914103,MiSeq (indices) / cutadapt (primers),ERR4914160,ERR4914161,MiSeq (indices) / cutadapt (primers),ERR4914218,ERR4914045,MiSeq (indices) / cutadapt (primers),ERR4914102,,,,,,,,,,,,,,,,,,,,
September 2020,Koster,VH1,ARMS_Koster_VH1_20190527_20200716_MF500,ARMS_Koster_VH1_20190527_20200716,2019-05-27,2020-07-16,Koster,VH1,Sweden,Motile_500um,Motile,DMSO,500,,ARMS_KOSTER_VH1_190527-200716_ MF500,ERR4914104,MiSeq (indices) / cutadapt (primers),ERR4914160,ERR4914162,MiSeq (indices) / cutadapt (primers),ERR4914218,ERR4914046,MiSeq (indices) / cutadapt (primers),ERR4914102,,,,,,,,,,,,,,,,,,,,
September 2020,Koster,VH1,ARMS_Koster_VH1_20190527_20200716_SF40,ARMS_Koster_VH1_20190527_20200716,2019-05-27,2020-07-16,Koster,VH1,Sweden,Sessile_40um,Sessile,DMSO,40,,ARMS_KOSTER_VH1_190527-200716_SF40_A,ERR4914105,MiSeq (indices) / cutadapt (primers),ERR4914160,ERR4914163,MiSeq (indices) / cutadapt (primers),ERR4914218,ERR4914047,MiSeq (indices) / cutadapt (primers),ERR4914102,,,,,,,,,,,,,,,,,,,,
,Koster,VH1,ARMS_Koster_VH1_20200716_20210608_MF100,ARMS_Koster_VH1_20200716_20210608,2020-07-16,2021-06-08,Koster,VH1,Sweden,Motile_100um,Motile,DMSO,100,,ARMS_Koster_VH1_20200716_20210608_MF100_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Koster,VH1,ARMS_Koster_VH1_20200716_20210608_MF500,ARMS_Koster_VH1_20200716_20210608,2020-07-16,2021-06-08,Koster,VH1,Sweden,Motile_500um,Motile,DMSO,500,,ARMS_Koster_VH1_20200716_20210608_MF500_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Koster,VH1,ARMS_Koster_VH1_20200716_20210608_SF40,ARMS_Koster_VH1_20200716_20210608,2020-07-16,2021-06-08,Koster,VH1,Sweden,Sessile_40um,Sessile,DMSO,40,,ARMS_Koster_VH1_20200716_20210608_SF40_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 2019,Koster,VH2,ARMS_Koster_VH2_20180418_20180906_MF100_ETOH,ARMS_Koster_VH2_20180418_20180906,2018-04-18,2018-09-06,Koster,VH2,Sweden,Motile_100um,Motile,EtOH,100,Yes,VH2-MF100-EtOH,ERR4018452,MiSeq (indices),ERR3460471,ERR4018445,MiSeq (indices),ERR4018475,ERR4605233,MiSeq (indices) / cutadapt (primers),ERR4605902,156981,131024,1330263,,Warn,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Warn,Fail,Fail,Fail,2020-04-14
July 2019,Koster,VH2,ARMS_Koster_VH2_20180418_20180906_MF500_ETOH,ARMS_Koster_VH2_20180418_20180906,2018-04-18,2018-09-06,Koster,VH2,Sweden,Motile_500um,Motile,EtOH,500,Yes,VH2-MF500-EtOH,ERR4018453,MiSeq (indices),ERR3460471,ERR4018446,MiSeq (indices),ERR4018475,ERR4605234,MiSeq (indices) / cutadapt (primers),ERR4605902,114296,161566,1264822,,Pass,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Warn,Pass,Fail,Warn,2020-04-14
July 2019,Koster,VH2,ARMS_Koster_VH2_20180418_20180906_PS90_ETOH,ARMS_Koster_VH2_20180418_20180906,2018-04-18,2018-09-06,Koster,VH2,Sweden,Plankton_90um,Plankton,EtOH,90,N/A (Not relevant information for this fraction/sample),VH2-PS90-EtOH,N/A (no successful amplification),N/A (no successful amplification),N/A (no successful amplification),ERR4018449,MiSeq (indices),ERR4018475,ERR4605237,MiSeq (indices) / cutadapt (primers),ERR4605902,,300199,886616,,N/A,Fail,Fail,N/A,Warn,Pass,N/A,Pass,Pass,N/A,Pass,Warn,N/A,Fail,Fail,2020-04-14
July 2019,Koster,VH2,ARMS_Koster_VH2_20180418_20180906_SED100_DMSO,ARMS_Koster_VH2_20180418_20180906,2018-04-18,2018-09-06,Koster,VH2,Sweden,Sediment_100um,Sediment,DMSO,100,N/A (Not relevant information for this fraction/sample),VH2-SS100-DMSO,ERR4018454,MiSeq (indices),ERR3460471,ERR4018447,MiSeq (indices),ERR4018475,ERR4605235,MiSeq (indices) / cutadapt (primers),ERR4605902,185528,158734,1098927,,Fail,Fail,Fail,Warn,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Warn,Fail,Fail,Fail,2020-04-14
July 2019,Koster,VH2,ARMS_Koster_VH2_20180418_20180906_SED500_DMSO,ARMS_Koster_VH2_20180418_20180906,2018-04-18,2018-09-06,Koster,VH2,Sweden,Sediment_500um,Sediment,DMSO,500,N/A (Not relevant information for this fraction/sample),VH2-SS500-DMSO,ERR4018455,MiSeq (indices),ERR3460471,ERR4018448,MiSeq (indices),ERR4018475,ERR4605236,MiSeq (indices) / cutadapt (primers),ERR4605902,123501,108322,771388,,Fail,Fail,Fail,Warn,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Warn,Fail,Fail,Fail,2020-04-14
July 2019,Koster,VH2,ARMS_Koster_VH2_20180418_20180906_SF40_DMSO,ARMS_Koster_VH2_20180418_20180906,2018-04-18,2018-09-06,Koster,VH2,Sweden,Sessile_40um,Sessile,DMSO,40,Yes,VH2-SF-DMSO Sessile,ERR4018451,MiSeq (indices),ERR3460471,ERR4018444,MiSeq (indices),ERR4018475,ERR4605232,MiSeq (indices) / cutadapt (primers),ERR4605902,132848,175593,1035281,,Pass,Fail,Fail,Pass,Warn,Pass,Pass,Pass,Pass,Pass,Pass,Warn,Warn,Fail,Fail,2020-04-14
July 2019,Koster,VH2,ARMS_Koster_VH2_20180418_20180906_SF40_ETOH,ARMS_Koster_VH2_20180418_20180906,2018-04-18,2018-09-06,Koster,VH2,Sweden,Sessile_40um,Sessile,EtOH,40,Yes,VH2-SF-EtOH Sessile,ERR4018450,MiSeq (indices),ERR3460471,ERR4018443,MiSeq (indices),ERR4018475,ERR4605231,MiSeq (indices) / cutadapt (primers),ERR4605902,138187,102508,541971,,Pass,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Warn,Warn,Warn,Fail,2020-04-14
September 2020,Koster,VH2,ARMS_Koster_VH2_20190527_20200716_MF100,ARMS_Koster_VH2_20190527_20200716,2019-05-27,2020-07-16,Koster,VH2,Sweden,Motile_100um,Motile,DMSO,100,,ARMS_KOSTER_VH2_190527-200716_ MF100,ERR4914109,MiSeq (indices) / cutadapt (primers),ERR4914160,ERR4914167,MiSeq (indices) / cutadapt (primers),ERR4914218,ERR4914051,MiSeq (indices) / cutadapt (primers),ERR4914102,,,,,,,,,,,,,,,,,,,,
September 2020,Koster,VH2,ARMS_Koster_VH2_20190527_20200716_MF500,ARMS_Koster_VH2_20190527_20200716,2019-05-27,2020-07-16,Koster,VH2,Sweden,Motile_500um,Motile,DMSO,500,,ARMS_KOSTER_VH2_190527-200716_ MF500,ERR4914110,MiSeq (indices) / cutadapt (primers),ERR4914160,ERR4914168,MiSeq (indices) / cutadapt (primers),ERR4914218,ERR4914052,MiSeq (indices) / cutadapt (primers),ERR4914102,,,,,,,,,,,,,,,,,,,,
September 2020,Koster,VH2,ARMS_Koster_VH2_20190527_20200716_SF40,ARMS_Koster_VH2_20190527_20200716,2019-05-27,2020-07-16,Koster,VH2,Sweden,Sessile_40um,Sessile,DMSO,40,,ARMS_KOSTER_VH2_190527-200716_SF40_A,ERR4914111,MiSeq (indices) / cutadapt (primers),ERR4914160,ERR4914169,MiSeq (indices) / cutadapt (primers),ERR4914218,ERR4914053,MiSeq (indices) / cutadapt (primers),ERR4914102,,,,,,,,,,,,,,,,,,,,
,Koster,VH2,ARMS_Koster_VH2_20200716_20210608_MF100,ARMS_Koster_VH2_20200716_20210608,2020-07-16,2021-06-08,Koster,VH2,Sweden,Motile_100um,Motile,DMSO,100,,ARMS_Koster_VH2_20200716_20210608_MF100_Α,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Koster,VH2,ARMS_Koster_VH2_20200716_20210608_MF500,ARMS_Koster_VH2_20200716_20210608,2020-07-16,2021-06-08,Koster,VH2,Sweden,Motile_500um,Motile,DMSO,500,,ARMS_Koster_VH2_20200716_20210608_MF500_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Koster,VH2,ARMS_Koster_VH2_20200716_20210608_SF40,ARMS_Koster_VH2_20200716_20210608,2020-07-16,2021-06-08,Koster,VH2,Sweden,Sessile_40um,Sessile,DMSO,40,,ARMS_Koster_VH2_20200716_20210608_SF40_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 2020,Koster,VH3,ARMS_Koster_VH3_20180418_20190527_MF100_DMSO,ARMS_Koster_VH3_20180418_20190527,2018-04-18,2019-05-27,Koster,VH3,Sweden,Motile_100um,Motile,DMSO,100,Yes,2018_Koster_VH3_MF100_DMSO,ERR4018470,MiSeq (indices),ERR4018471,ERR4018465,MiSeq (indices),ERR4018473,ERR4018460,MiSeq (indices),ERR4018472,32408,40728,51391,,Fail,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Fail,2020-04-14
January 2020,Koster,VH3,ARMS_Koster_VH3_20180418_20190527_MF500_DMSO,ARMS_Koster_VH3_20180418_20190527,2018-04-18,2019-05-27,Koster,VH3,Sweden,Motile_500um,Motile,DMSO,500,Yes,2018_Koster_VH3_MF500_DMSO,ERR4018469,MiSeq (indices),ERR4018471,ERR4018464,MiSeq (indices),ERR4018473,ERR4018459,MiSeq (indices),ERR4018472,30369,16154,39356,,Warn,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Warn,Fail,2020-04-14
May 2021,Koster,VH3,ARMS_Koster_VH3_20180418_20190527_SF40_DMSO,ARMS_Koster_VH3_20180418_20190527,2018-04-18,2019-05-27,Koster,VH3,Sweden,Sessile_40um,Sessile,DMSO,40,Yes,2018_Koster_VH3-SF40-DMSO,ERR7127610,MiSeq (indices),ERR7125582,discontinued,discontinued,discontinued,ERR7127609,MiSeq (indices),ERR7125581,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
September 2020,Koster,VH3,ARMS_Koster_VH3_20190527_20200716_MF100,ARMS_Koster_VH3_20190527_20200716,2019-05-27,2020-07-16,Koster,VH3,Sweden,Motile_100um,Motile,DMSO,100,,ARMS_KOSTER_VH3_190527-200716_ MF100,ERR4914106,MiSeq (indices) / cutadapt (primers),ERR4914160,ERR4914164,MiSeq (indices) / cutadapt (primers),ERR4914218,ERR4914048,MiSeq (indices) / cutadapt (primers),ERR4914102,,,,,,,,,,,,,,,,,,,,
September 2020,Koster,VH3,ARMS_Koster_VH3_20190527_20200716_MF500,ARMS_Koster_VH3_20190527_20200716,2019-05-27,2020-07-16,Koster,VH3,Sweden,Motile_500um,Motile,DMSO,500,,ARMS_KOSTER_VH3_190527-200716_ MF500,ERR4914107,MiSeq (indices) / cutadapt (primers),ERR4914160,ERR4914165,MiSeq (indices) / cutadapt (primers),ERR4914218,ERR4914049,MiSeq (indices) / cutadapt (primers),ERR4914102,,,,,,,,,,,,,,,,,,,,
September 2020,Koster,VH3,ARMS_Koster_VH3_20190527_20200716_SF40,ARMS_Koster_VH3_20190527_20200716,2019-05-27,2020-07-16,Koster,VH3,Sweden,Sessile_40um,Sessile,DMSO,40,,ARMS_KOSTER_VH3_190527-200716_SF40_A,ERR4914108,MiSeq (indices) / cutadapt (primers),ERR4914160,ERR4914166,MiSeq (indices) / cutadapt (primers),ERR4914218,ERR4914050,MiSeq (indices) / cutadapt (primers),ERR4914102,,,,,,,,,,,,,,,,,,,,
,Koster,VH3,ARMS_Koster_VH3_20200716_20210608_MF100,ARMS_Koster_VH3_20200716_20210608,2020-07-16,2021-06-08,Koster,VH3,Sweden,Motile_100um,Motile,DMSO,100,,ARMS_Koster_VH3_20200716_20210608_MF100_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Koster,VH3,ARMS_Koster_VH3_20200716_20210608_MF500,ARMS_Koster_VH3_20200716_20210608,2020-07-16,2021-06-08,Koster,VH3,Sweden,Motile_500um,Motile,DMSO,500,,ARMS_Koster_VH3_20200716_20210608_MF500_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Koster,VH3,ARMS_Koster_VH3_20200716_20210608_SF40,ARMS_Koster_VH3_20200716_20210608,2020-07-16,2021-06-08,Koster,VH3,Sweden,Sessile_40um,Sessile,DMSO,40,,ARMS_Koster_VH3_20200716_20210608_SF40_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 2021,Laeso,Laeso1,ARMS_Laeso_Laeso1_20190819_20200811_MF100,ARMS_Laeso_Laeso1_20190819_20200811,2019-08-19,2020-08-11,Laesoe,Laeso1,Denmark,Motile_100um,Motile,DMSO,100,Yes,ARMS_Laesoe1_190819-200811_MF100_A,ERR7127583,MiSeq (indices) / cutadapt (primers),ERR7125534,ERR7127584,MiSeq (indices) / cutadapt (primers),ERR7125535,ERR7127582,MiSeq (indices) / cutadapt (primers),ERR7125533,,,,,,,,,,,,,,,,,,,,
April 2021,Laeso,Laeso1,ARMS_Laeso_Laeso1_20190819_20200811_MF500,ARMS_Laeso_Laeso1_20190819_20200811,2019-08-19,2020-08-11,Laesoe,Laeso1,Denmark,Motile_500um,Motile,DMSO,500,Yes,ARMS_Laesoe1_190819-200811_MF500_A,ERR7127586,MiSeq (indices) / cutadapt (primers),ERR7125534,ERR7127587,MiSeq (indices) / cutadapt (primers),ERR7125535,ERR7127585,MiSeq (indices) / cutadapt (primers),ERR7125533,,,,,,,,,,,,,,,,,,,,
April 2021,Laeso,Laeso1,ARMS_Laeso_Laeso1_20190819_20200811_SF40,ARMS_Laeso_Laeso1_20190819_20200811,2019-08-19,2020-08-11,Laesoe,Laeso1,Denmark,Sessile_40um,Sessile,DMSO,40,Yes,ARMS_Laesoe1_190819-200811_SF40_A,ERR7127589,MiSeq (indices) / cutadapt (primers),ERR7125534,ERR7127590,MiSeq (indices) / cutadapt (primers),ERR7125535,ERR7127588,MiSeq (indices) / cutadapt (primers),ERR7125533,,,,,,,,,,,,,,,,,,,,
April 2021,Laeso,Laeso2,ARMS_Laeso_Laeso2_20190819_20200811_MF100,ARMS_Laeso_Laeso2_20190819_20200811,2019-08-19,2020-08-11,Laesoe,Laeso2,Denmark,Motile_100um,Motile,DMSO,100,Yes,ARMS_Laesoe2_190819-200811_MF100_A,ERR7127592,MiSeq (indices) / cutadapt (primers),ERR7125534,ERR7127593,MiSeq (indices) / cutadapt (primers),ERR7125535,ERR7127591,MiSeq (indices) / cutadapt (primers),ERR7125533,,,,,,,,,,,,,,,,,,,,
May 2021,Laeso,Laeso2,ARMS_Laeso_Laeso2_20190819_20200811_MF500,ARMS_Laeso_Laeso2_20190819_20200811,2019-08-19,2020-08-11,Laesoe,Laeso2,Denmark,Motile_500um,Motile,DMSO,500,Yes,ARMS_Laesoe2_190819-200811_MF500_A,ERR7127606,MiSeq (indices),ERR7125582,discontinued,discontinued,discontinued,ERR7127607,MiSeq (indices),ERR7125581,,,,,,,,,,,,,,,,,,,,
April 2021,Laeso,Laeso2,ARMS_Laeso_Laeso2_20190819_20200811_SF40,ARMS_Laeso_Laeso2_20190819_20200811,2019-08-19,2020-08-11,Laesoe,Laeso2,Denmark,Sessile_40um,Sessile,DMSO,40,Yes,ARMS_Laesoe2_190819-200811_SF40_A,ERR7127595,MiSeq (indices) / cutadapt (primers),ERR7125534,ERR7127596,MiSeq (indices) / cutadapt (primers),ERR7125535,ERR7127594,MiSeq (indices) / cutadapt (primers),ERR7125533,,,,,,,,,,,,,,,,,,,,
April 2021,Laeso,Laeso3,ARMS_Laeso_Laeso3_20190819_20200811_MF100,ARMS_Laeso_Laeso3_20190819_20200811,2019-08-19,2020-08-11,Laesoe,Laeso3,Denmark,Motile_100um,Motile,DMSO,100,Yes,ARMS_Laesoe3_190819-200811_MF100_A,ERR7127598,MiSeq (indices) / cutadapt (primers),ERR7125534,ERR7127599,MiSeq (indices) / cutadapt (primers),ERR7125535,ERR7127597,MiSeq (indices) / cutadapt (primers),ERR7125533,,,,,,,,,,,,,,,,,,,,
April 2021,Laeso,Laeso3,ARMS_Laeso_Laeso3_20190819_20200811_MF500,ARMS_Laeso_Laeso3_20190819_20200811,2019-08-19,2020-08-11,Laesoe,Laeso3,Denmark,Motile_500um,Motile,DMSO,500,Yes,ARMS_Laesoe3_190819-200811_MF500_A,ERR7127601,MiSeq (indices) / cutadapt (primers),ERR7125534,ERR7127602,MiSeq (indices) / cutadapt (primers),ERR7125535,ERR7127600,MiSeq (indices) / cutadapt (primers),ERR7125533,,,,,,,,,,,,,,,,,,,,
April 2021,Laeso,Laeso3,ARMS_Laeso_Laeso3_20190819_20200811_SF40,ARMS_Laeso_Laeso3_20190819_20200811,2019-08-19,2020-08-11,Laesoe,Laeso3,Denmark,Sessile_40um,Sessile,DMSO,40,Yes,ARMS_Laesoe3_190819-200811_SF40_A,ERR7127604,MiSeq (indices) / cutadapt (primers),ERR7125534,ERR7127605,MiSeq (indices) / cutadapt (primers),ERR7125535,ERR7127603,MiSeq (indices) / cutadapt (primers),ERR7125533,,,,,,,,,,,,,,,,,,,,
January 2020,Limfjord,Green33,ARMS_Limfjord_Green33_20190618_20191029_MF100,ARMS_Limfjord_Green33_20190618_20191029,2019-06-18,2019-10-29,Limfjord,Green33,Denmark,Motile_100um,Motile,DMSO,100,Yes,2019_Limfjord_Green33_MF100_DMSO,ERR4018499,MiSeq (indices),ERR4018471,ERR4018490,MiSeq (indices),ERR4018473,ERR4018481,MiSeq (indices),ERR4018472,36878,14452,76057,,Warn,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Fail,2021-05-01
January 2020,Limfjord,Green33,ARMS_Limfjord_Green33_20190618_20191029_MF500,ARMS_Limfjord_Green33_20190618_20191029,2019-06-18,2019-10-29,Limfjord,Green33,Denmark,Motile_500um,Motile,DMSO,500,Yes,2019_Limfjord_Green33_MF500_DMSO,ERR4018497,MiSeq (indices),ERR4018471,ERR4018488,MiSeq (indices),ERR4018473,ERR4018479,MiSeq (indices),ERR4018472,44021,12863,13802,,Fail,Fail,Fail,Warn,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Fail,2021-05-01
January 2020,Limfjord,Green33,ARMS_Limfjord_Green33_20190618_20191029_SF40,ARMS_Limfjord_Green33_20190618_20191029,2019-06-18,2019-10-29,Limfjord,Green33,Denmark,Sessile_40um,Sessile,DMSO,40,Yes,2019_Limfjord_Green33_SF_DMSO,ERR4018498,MiSeq (indices),ERR4018471,ERR4018489,MiSeq (indices),ERR4018473,ERR4018480,MiSeq (indices),ERR4018472,21433,265,21546,,Fail,Fail,Fail,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Fail,Fail,Fail,2021-05-01
January 2022,Limfjord,Green33,ARMS_Limfjord_Green33_20191029_20201110_MF100,ARMS_Limfjord_Green33_20191029_20201110,2019-10-29,2020-11-10,Limfjord,Green33,Denmark,Motile_100um,Motile,DMSO,100,,ARMS_Limfjord1_191029-201110_MF100_B,ERR9632096,MiSeq (indices),ERR9632065,discontinued,discontinued,discontinued,ERR9632081,MiSeq (indices),ERR9632062,,,,,,,,,,,,,,,,,,,,
January 2022,Limfjord,Green33,ARMS_Limfjord_Green33_20191029_20201110_MF500,ARMS_Limfjord_Green33_20191029_20201110,2019-10-29,2020-11-10,Limfjord,Green33,Denmark,Motile_500um,Motile,DMSO,500,,ARMS_Limfjord1_191029-201110_MF500_B,ERR9632097,MiSeq (indices),ERR9632065,discontinued,discontinued,discontinued,ERR9632082,MiSeq (indices),ERR9632062,,,,,,,,,,,,,,,,,,,,
January 2022,Limfjord,Green33,ARMS_Limfjord_Green33_20191029_20201110_SF40,ARMS_Limfjord_Green33_20191029_20201110,2019-10-29,2020-11-10,Limfjord,Green33,Denmark,Sessile_40um,Sessile,DMSO,40,,ARMS_Limfjord1_191029-201110_SF40_B,ERR9632098,MiSeq (indices),ERR9632065,discontinued,discontinued,discontinued,ERR9632083,MiSeq (indices),ERR9632062,,,,,,,,,,,,,,,,,,,,
,Limfjord,Green33,ARMS_Limfjord_Green33_20201110_20211115_MF100,ARMS_Limfjord_Green33_20201110_20211115,2020-11-10,2021-11-15,Limfjord,Green33,Denmark,Motile_100um,Motile,DMSO,100,no,ARMS_Limfjord1_201110-211115_MF100_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Limfjord,Green33,ARMS_Limfjord_Green33_20201110_20211115_MF500,ARMS_Limfjord_Green33_20201110_20211115,2020-11-10,2021-11-15,Limfjord,Green33,Denmark,Motile_500um,Motile,DMSO,500,no,ARMS_ Limfjord1_201110-211115_MF500_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
